xflr5 v6.61

Plane name :        10 deg flap 30m
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.000     0.000  -0.784272   0.018006   0.009597   0.027603   0.000000   0.000000   0.094142   0.000000   0.000000   10.0000     0.4781
  -15.900     0.000  -0.775121   0.017679   0.009498   0.027178   0.000000   0.000000   0.091959   0.000000   0.000000   10.0000     0.4714
  -15.800     0.000  -0.766487   0.017301   0.009407   0.026708   0.000000   0.000000   0.089895   0.000000  -0.000000   10.0000     0.4648
  -15.700     0.000  -0.757868   0.016916   0.009320   0.026237   0.000000   0.000000   0.087828   0.000000   0.000000   10.0000     0.4580
  -15.600     0.000  -0.749242   0.016532   0.009236   0.025768   0.000000   0.000000   0.085755   0.000000   0.000000   10.0000     0.4509
  -15.500     0.000  -0.740601   0.016151   0.009152   0.025304   0.000000   0.000000   0.083676   0.000000   0.000000   10.0000     0.4437
  -15.400     0.000  -0.731962   0.015774   0.009069   0.024843   0.000000   0.000000   0.081598   0.000000   0.000000   10.0000     0.4365
  -15.300     0.000  -0.723286   0.015400   0.008988   0.024389   0.000000   0.000000   0.079506   0.000000   0.000000   10.0000     0.4289
  -15.200     0.000  -0.714570   0.015030   0.008910   0.023940   0.000000   0.000000   0.077400   0.000000   0.000000   10.0000     0.4210
  -15.100     0.000  -0.705813   0.014662   0.008835   0.023498   0.000000   0.000000   0.075279   0.000000   0.000000   10.0000     0.4127
  -15.000     0.000  -0.697050   0.014299   0.008761   0.023060   0.000000   0.000000   0.073156   0.000000  -0.000000   10.0000     0.4042
  -14.900     0.000  -0.688273   0.013940   0.008687   0.022627   0.000000   0.000000   0.071028   0.000000  -0.000000   10.0000     0.3956
  -14.800     0.000  -0.679484   0.013584   0.008615   0.022200   0.000000   0.000000   0.068895   0.000000  -0.000000   10.0000     0.3867
  -14.700     0.000  -0.670670   0.013233   0.008545   0.021778   0.000000   0.000000   0.066753   0.000000  -0.000000   10.0000     0.3775
  -14.600     0.000  -0.661807   0.012884   0.008478   0.021362   0.000000   0.000000   0.064594   0.000000   0.000000   10.0000     0.3677
  -14.500     0.000  -0.652933   0.012540   0.008411   0.020951   0.000000   0.000000   0.062431   0.000000   0.000000   10.0000     0.3577
  -14.400     0.000  -0.644053   0.012200   0.008345   0.020545   0.000000   0.000000   0.060265   0.000000   0.000000   10.0000     0.3475
  -14.300     0.000  -0.635168   0.011865   0.008279   0.020144   0.000000   0.000000   0.058099   0.000000  -0.000000   10.0000     0.3373
  -14.200     0.000  -0.626271   0.011534   0.008215   0.019749   0.000000   0.000000   0.055928   0.000000   0.000000   10.0000     0.3268
  -14.100     0.000  -0.617340   0.011207   0.008153   0.019360   0.000000   0.000000   0.053746   0.000000  -0.000000   10.0000     0.3152
  -14.000     0.000  -0.608382   0.010883   0.008094   0.018977   0.000000   0.000000   0.051553   0.000000  -0.000000   10.0000     0.3030
  -13.900     0.000  -0.599416   0.010564   0.008036   0.018600   0.000000   0.000000   0.049359   0.000000   0.000000   10.0000     0.2907
  -13.800     0.000  -0.590437   0.010249   0.007978   0.018227   0.000000   0.000000   0.047159   0.000000   0.000000   10.0000     0.2780
  -13.700     0.000  -0.581451   0.009938   0.007919   0.017858   0.000000   0.000000   0.044956   0.000000   0.000000   10.0000     0.2652
  -13.600     0.000  -0.572445   0.009632   0.007861   0.017493   0.000000   0.000000   0.042747   0.000000   0.000000   10.0000     0.2521
  -13.500     0.000  -0.563388   0.009330   0.007804   0.017134   0.000000   0.000000   0.040519   0.000000  -0.000000   10.0000     0.2378
  -13.400     0.000  -0.554318   0.009032   0.007747   0.016779   0.000000   0.000000   0.038286   0.000000   0.000000   10.0000     0.2231
  -13.300     0.000  -0.545241   0.008738   0.007691   0.016429   0.000000   0.000000   0.036050   0.000000   0.000000   10.0000     0.2080
