xflr5 v6.61

Plane name :        AeroSail 30m 5deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.584035   0.009113   0.007086   0.016198   0.000000   0.000000   0.090884   0.000000  -0.000000   10.0000     0.6262
   -9.900     0.000  -0.574766   0.008826   0.007052   0.015878   0.000000   0.000000   0.088638   0.000000   0.000000   10.0000     0.6198
   -9.800     0.000  -0.565497   0.008543   0.007019   0.015562   0.000000   0.000000   0.086392   0.000000   0.000000   10.0000     0.6133
   -9.700     0.000  -0.556217   0.008266   0.006986   0.015252   0.000000   0.000000   0.084142   0.000000  -0.000000   10.0000     0.6066
   -9.600     0.000  -0.546925   0.007992   0.006954   0.014945   0.000000   0.000000   0.081887   0.000000   0.000000   10.0000     0.5996
   -9.500     0.000  -0.537610   0.007722   0.006921   0.014643   0.000000   0.000000   0.079623   0.000000   0.000000   10.0000     0.5923
   -9.400     0.000  -0.528251   0.007457   0.006887   0.014344   0.000000   0.000000   0.077340   0.000000  -0.000000   10.0000     0.5844
   -9.300     0.000  -0.518876   0.007195   0.006854   0.014050   0.000000   0.000000   0.075051   0.000000   0.000000   10.0000     0.5762
   -9.200     0.000  -0.509501   0.006939   0.006822   0.013760   0.000000   0.000000   0.072761   0.000000  -0.000000   10.0000     0.5680
   -9.100     0.000  -0.500119   0.006686   0.006790   0.013477   0.000000   0.000000   0.070470   0.000000  -0.000000   10.0000     0.5595
   -9.000     0.000  -0.490724   0.006438   0.006761   0.013199   0.000000   0.000000   0.068173   0.000000   0.000000   10.0000     0.5505
   -8.900     0.000  -0.481302   0.006195   0.006735   0.012929   0.000000   0.000000   0.065867   0.000000  -0.000000   10.0000     0.5408
   -8.800     0.000  -0.471861   0.005955   0.006711   0.012666   0.000000   0.000000   0.063554   0.000000   0.000000   10.0000     0.5307
   -8.700     0.000  -0.462431   0.005721   0.006688   0.012409   0.000000   0.000000   0.061246   0.000000   0.000000   10.0000     0.5204
   -8.600     0.000  -0.453020   0.005492   0.006666   0.012158   0.000000   0.000000   0.058949   0.000000   0.000000   10.0000     0.5100
   -8.500     0.000  -0.443619   0.005268   0.006645   0.011913   0.000000   0.000000   0.056658   0.000000  -0.000000   10.0000     0.4993
   -8.400     0.000  -0.434226   0.005049   0.006623   0.011672   0.000000   0.000000   0.054370   0.000000   0.000000   10.0000     0.4878
   -8.300     0.000  -0.424875   0.004835   0.006603   0.011438   0.000000   0.000000   0.052103   0.000000  -0.000000   10.0000     0.4753
   -8.200     0.000  -0.415526   0.004626   0.006583   0.011209   0.000000   0.000000   0.049838   0.000000   0.000000   10.0000     0.4627
   -8.100     0.000  -0.406159   0.004421   0.006563   0.010985   0.000000   0.000000   0.047564   0.000000  -0.000000   10.0000     0.4496
   -8.000     0.000  -0.396784   0.004221   0.006543   0.010764   0.000000   0.000000   0.045287   0.000000   0.000000   10.0000     0.4363
   -7.900     0.000  -0.387385   0.004025   0.006523   0.010548   0.000000   0.000000   0.042999   0.000000  -0.000000   10.0000     0.4224
   -7.800     0.000  -0.377929   0.003833   0.006504   0.010336   0.000000   0.000000   0.040686  -0.000000  -0.000000   10.0000     0.4061
   -7.700     0.000  -0.368441   0.003644   0.006485   0.010129   0.000000   0.000000   0.038360   0.000000   0.000000   10.0000     0.3884
   -7.600     0.000  -0.359018   0.003461   0.006468   0.009929   0.000000   0.000000   0.036057   0.000000   0.000000   10.0000     0.3706
   -7.500     0.000  -0.349593   0.003283   0.006453   0.009737   0.000000   0.000000   0.033760   0.000000   0.000000   10.0000     0.3522
   -7.400     0.000  -0.340171   0.003111   0.006440   0.009551   0.000000   0.000000   0.031467   0.000000   0.000000   10.0000     0.3333
   -7.300     0.000  -0.330774   0.002944   0.006430   0.009374   0.000000   0.000000   0.029187   0.000000   0.000000   10.0000     0.3134
   -7.200     0.000  -0.321418   0.002784   0.006427   0.009211   0.000000   0.000000   0.026935   0.000000  -0.000000   10.0000     0.2910
   -7.100     0.000  -0.312129   0.002628   0.006428   0.009056   0.000000   0.000000   0.024710   0.000000   0.000000   10.0000     0.2685
   -7.000     0.000  -0.302853   0.002477   0.006428   0.008905   0.000000   0.000000   0.022490   0.000000   0.000000   10.0000     0.2459
   -6.900     0.000  -0.293645   0.002331   0.006433   0.008764   0.000000   0.000000   0.020301   0.000000   0.000000   10.0000     0.2217
   -6.800     0.000  -0.284548   0.002191   0.006444   0.008635   0.000000   0.000000   0.018162   0.000000   0.000000   10.0000     0.1969
   -6.700     0.000  -0.275777   0.002058   0.006472   0.008530   0.000000   0.000000   0.016170   0.000000   0.000000   10.0000     0.1710
   -6.600     0.000  -0.267134   0.001931   0.006506   0.008437   0.000000   0.000000   0.014236   0.000000   0.000000   10.0000     0.1441
   -6.500     0.000  -0.258469   0.001808   0.006540   0.008348   0.000000   0.000000   0.012294   0.000000  -0.000000   10.0000     0.1154
   -6.400     0.000  -0.249795   0.001689   0.006575   0.008264   0.000000   0.000000   0.010347   0.000000   0.000000   10.0000     0.0858
   -6.300     0.000  -0.241092   0.001573   0.006610   0.008183   0.000000   0.000000   0.008386   0.000000   0.000000   10.0000     0.0530
   -6.200     0.000  -0.232317   0.001461   0.006645   0.008107   0.000000   0.000000   0.006392   0.000000  -0.000000   10.0000     0.0109
   -6.100     0.000  -0.223434   0.001353   0.006682   0.008035   0.000000   0.000000   0.004349   0.000000   0.000000   10.0000    -0.0429
