xflr5 v6.61

Plane name :        AeroSail 30m 14deg flap
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.034701   0.000034   0.006526   0.006560   0.000000  -0.000000  -0.145233   0.000000   0.000000   10.0000    11.3592
   -9.500     0.000   0.082616   0.000188   0.006410   0.006598   0.000000   0.000000  -0.157283   0.000000   0.000000   10.0000    10.9215
   -9.000     0.000   0.130244   0.000476   0.006319   0.006796   0.000000  -0.000000  -0.169285   0.000000  -0.000000   10.0000     7.0284
   -8.500     0.000   0.178043   0.000899   0.006198   0.007096   0.000000  -0.000000  -0.181341   0.000000   0.000000   10.0000     5.3765
   -8.000     0.000   0.226008   0.001456   0.006049   0.007504   0.000000  -0.000000  -0.193452   0.000000   0.000000   10.0000     4.4626
   -7.500     0.000   0.271513   0.002121   0.006059   0.008180   0.000000  -0.000000  -0.204437   0.000000   0.000000   10.0000     3.8781
   -7.000     0.000   0.310749   0.002815   0.006449   0.009265   0.000000  -0.000000  -0.212513   0.000000   0.000000   10.0000     3.5095
   -6.500     0.000   0.346766   0.003541   0.006993   0.010534   0.000000  -0.000000  -0.219054   0.000000   0.000000   10.0000     3.2308
   -6.000     0.000   0.387352   0.004406   0.007258   0.011664   0.000000  -0.000000  -0.227604   0.000000  -0.000000   10.0000     2.9955
   -5.500     0.000   0.429007   0.005394   0.007458   0.012851   0.000000  -0.000000  -0.236627   0.000000  -0.000000   10.0000     2.8080
   -5.000     0.000   0.471299   0.006508   0.007597   0.014105   0.000000  -0.000000  -0.245954   0.000000  -0.000000   10.0000     2.6479
   -4.500     0.000   0.513609   0.007720   0.007725   0.015446   0.000000  -0.000000  -0.255249   0.000000   0.000000   10.0000     2.5150
   -4.000     0.000   0.555438   0.009034   0.007856   0.016890   0.000000  -0.000000  -0.264322   0.000000   0.000000   10.0000     2.4026
   -3.500     0.000   0.596997   0.010449   0.007974   0.018423   0.000000  -0.000000  -0.273263   0.000000  -0.000000   10.0000     2.3070
   -3.000     0.000   0.638128   0.011954   0.008086   0.020040   0.000000  -0.000000  -0.281987   0.000000  -0.000000   10.0000     2.2235
   -2.500     0.000   0.678530   0.013537   0.008198   0.021736   0.000000  -0.000000  -0.290355   0.000000  -0.000000   10.0000     2.1494
   -2.000     0.000   0.717082   0.015162   0.008314   0.023475   0.000000  -0.000000  -0.297821   0.000000   0.000000   10.0000     2.0827
   -1.500     0.000   0.753422   0.016798   0.008431   0.025230   0.000000  -0.000000  -0.304202   0.000000   0.000000   10.0000     2.0215
   -1.000     0.000   0.788601   0.018466   0.008569   0.027035   0.000000  -0.000000  -0.310024   0.000000   0.000000   10.0000     1.9652
   -0.500     0.000   0.823236   0.020176   0.008746   0.028922   0.000000  -0.000000  -0.315599   0.000000   0.000000   10.0000     1.9133
    0.000     0.000   0.857559   0.021937   0.008952   0.030890   0.000000  -0.000000  -0.321050   0.000000   0.000000   10.0000     1.8658
    0.500     0.000   0.891766   0.023761   0.009173   0.032934   0.000000  -0.000000  -0.326483   0.000000   0.000000   10.0000     1.8217
    1.000     0.000   0.924546   0.025601   0.009436   0.035038   0.000000  -0.000000  -0.331330   0.000000   0.000000   10.0000     1.7807
    1.500     0.000   0.957130   0.027483   0.009713   0.037195   0.000000  -0.000000  -0.336109   0.000000   0.000000   10.0000     1.7418
    2.000     0.000   0.989248   0.029417   0.010019   0.039436   0.000000  -0.000000  -0.340761   0.000000   0.000000   10.0000     1.7056
    2.500     0.000   1.020269   0.031369   0.010386   0.041755   0.000000  -0.000000  -0.345022   0.000000   0.000000   10.0000     1.6715
    3.000     0.000   1.050453   0.033334   0.010821   0.044155   0.000000  -0.000000  -0.349011   0.000000   0.000000   10.0000     1.6393
    3.500     0.000   1.080521   0.035347   0.011306   0.046652   0.000000  -0.000000  -0.353051   0.000000   0.000000   10.0000     1.6091
    4.000     0.000   1.110407   0.037387   0.011845   0.049232   0.000000  -0.000000  -0.357102   0.000000   0.000000   10.0000     1.5807
    4.500     0.000   1.139637   0.039446   0.012459   0.051905   0.000000  -0.000000  -0.360980   0.000000   0.000000   10.0000     1.5537
    5.000     0.000   1.169092   0.041559   0.013110   0.054669   0.000000  -0.000000  -0.365043   0.000000   0.000000   10.0000     1.5283
    5.500     0.000   1.198611   0.043724   0.013803   0.057528   0.000000  -0.000000  -0.369220  -0.000000  -0.000000   10.0000     1.5044
    6.000     0.000   1.228215   0.045950   0.014525   0.060475   0.000000  -0.000000  -0.373510   0.000000   0.000000   10.0000     1.4818
    6.500     0.000   1.257904   0.048227   0.015269   0.063496   0.000000  -0.000000  -0.377899   0.000000   0.000000   10.0000     1.4605
    7.000     0.000   1.287412   0.050548   0.016047   0.066595   0.000000  -0.000000  -0.382285   0.000000   0.000000   10.0000     1.4401
    7.500     0.000   1.316968   0.052936   0.016851   0.069787   0.000000  -0.000000  -0.386769   0.000000   0.000000   10.0000     1.4207
    8.000     0.000   1.346404   0.055364   0.017687   0.073051   0.000000  -0.000000  -0.391269   0.000000   0.000000   10.0000     1.4022
    8.500     0.000   1.375838   0.057846   0.018547   0.076392   0.000000  -0.000000  -0.395833   0.000000   0.000000   10.0000     1.3846
    9.000     0.000   1.405275   0.060366   0.019435   0.079801   0.000000   0.000000  -0.400465   0.000000   0.000000   10.0000     1.3677
    9.500     0.000   1.434146   0.062927   0.020387   0.083314   0.000000  -0.000000  -0.404981   0.000000   0.000000   10.0000     1.3515
   10.000     0.000   1.461995   0.065476   0.021434   0.086909   0.000000  -0.000000  -0.409206   0.000000   0.000000   10.0000     1.3357
   10.500     0.000   1.489171   0.068027   0.022553   0.090580   0.000000  -0.000000  -0.413274   0.000000  -0.000000   10.0000     1.3203
   11.000     0.000   1.515366   0.070562   0.023769   0.094331   0.000000  -0.000000  -0.417092   0.000000   0.000000   10.0000     1.3053
   11.500     0.000   1.540420   0.073064   0.025093   0.098157   0.000000  -0.000000  -0.420614   0.000000  -0.000000   10.0000     1.2907
   12.000     0.000   1.563960   0.075505   0.026564   0.102069   0.000000  -0.000000  -0.423730  -0.000000  -0.000000   10.0000     1.2764
   12.500     0.000   1.585928   0.077878   0.028192   0.106071   0.000000  -0.000000  -0.426441  -0.000000  -0.000000   10.0000     1.2622
   13.000     0.000   1.606288   0.080168   0.029986   0.110154   0.000000  -0.000000  -0.428753   0.000000   0.000000   10.0000     1.2483
   13.500     0.000   1.625186   0.082376   0.031954   0.114330   0.000000  -0.000000  -0.430731   0.000000  -0.000000   10.0000     1.2347
   14.000     0.000   1.641726   0.084454   0.034182   0.118636   0.000000  -0.000000  -0.432134   0.000000   0.000000   10.0000     1.2212
   14.500     0.000   1.656670   0.086419   0.036622   0.123041   0.000000  -0.000000  -0.433223   0.000000   0.000000   10.0000     1.2081
   15.000     0.000   1.668940   0.088227   0.039415   0.127641   0.000000  -0.000000  -0.433745   0.000000   0.000000   10.0000     1.1954
   15.500     0.000   1.679869   0.089903   0.042456   0.132359   0.000000  -0.000000  -0.434122   0.000000   0.000000   10.0000     1.1831
   16.000     0.000   1.679869   0.089903   0.042456   0.132359   0.000000  -0.000000  -0.434122   0.000000   0.000000   10.0000     1.1831


